"sex","length","diameter","height","whole_wt","shucked_wt","rings","age"
"F",0.67,0.525,0.19,1.527,0.5755,12,13.5
"F",0.68,0.505,0.17,1.3435,0.657,12,13.5
"F",0.505,0.38,0.13,0.693,0.391,8,9.5
"F",0.51,0.37,0.21,1.183,0.508,9,10.5
"F",0.525,0.41,0.135,0.7905,0.4065,8,9.5
"F",0.535,0.4,0.15,1.224,0.618,10,11.5
"F",0.59,0.44,0.14,1.007,0.4775,9,10.5
"F",0.595,0.43,0.21,1.5245,0.653,11,12.5
"F",0.62,0.5,0.17,1.148,0.5475,10,11.5
"F",0.625,0.49,0.11,1.136,0.5265,9,10.5
"F",0.635,0.51,0.17,1.2235,0.532,9,10.5
"F",0.635,0.525,0.18,1.3695,0.634,11,12.5
"F",0.655,0.505,0.175,1.2905,0.6205,10,11.5
"F",0.67,0.515,0.17,1.4265,0.6605,11,12.5
"F",0.75,0.615,0.205,2.2635,0.821,12,13.5
"F",0.57,0.47,0.14,0.871,0.385,10,11.5
"F",0.58,0.435,0.155,0.8785,0.425,10,11.5
"F",0.595,0.46,0.16,0.921,0.4005,9,10.5
"F",0.6,0.45,0.14,0.869,0.3425,11,12.5
"F",0.61,0.495,0.16,1.089,0.469,11,12.5
"F",0.625,0.515,0.155,1.1635,0.4875,11,12.5
"F",0.635,0.505,0.165,1.251,0.577,11,12.5
"F",0.635,0.49,0.155,1.145,0.4775,9,10.5
"F",0.64,0.485,0.145,1.1335,0.5525,11,12.5
"F",0.64,0.5,0.15,1.2015,0.559,9,10.5
"F",0.655,0.49,0.16,1.204,0.5455,9,10.5
"F",0.655,0.455,0.17,1.2895,0.587,11,12.5
"F",0.66,0.53,0.18,1.5175,0.7765,10,11.5
"F",0.68,0.52,0.185,1.494,0.615,11,12.5
"F",0.68,0.56,0.195,1.664,0.58,11,12.5
"F",0.695,0.535,0.2,1.5855,0.667,11,12.5
"F",0.7,0.555,0.22,1.666,0.647,11,12.5
"F",0.73,0.55,0.205,1.908,0.5415,14,15.5
"F",0.755,0.575,0.2,2.073,1.0135,11,12.5
"F",0.52,0.43,0.15,0.728,0.302,11,12.5
"F",0.53,0.395,0.115,0.5685,0.249,9,10.5
"F",0.55,0.43,0.15,0.655,0.2635,8,9.5
"F",0.47,0.36,0.1,0.4705,0.1635,8,9.5
"F",0.525,0.4,0.135,0.714,0.318,10,11.5
"F",0.525,0.4,0.13,0.6995,0.3115,9,10.5
"F",0.55,0.425,0.14,0.952,0.4895,7,8.5
"F",0.575,0.45,0.135,0.8285,0.362,10,11.5
"F",0.62,0.485,0.155,1.1945,0.5105,9,10.5
"F",0.63,0.495,0.19,1.1655,0.536,10,11.5
"F",0.63,0.49,0.17,1.2155,0.4625,10,11.5
"F",0.685,0.53,0.17,1.5105,0.7385,10,11.5
"F",0.485,0.39,0.1,0.5565,0.2215,9,10.5
"F",0.625,0.48,0.2,1.3235,0.6075,9,10.5
"F",0.645,0.5,0.18,1.2785,0.5345,13,14.5
"F",0.71,0.53,0.195,1.8745,0.6755,12,13.5
"F",0.7,0.54,0.215,1.978,0.6675,24,25.5
"F",0.655,0.505,0.165,1.367,0.5835,10,11.5
"F",0.665,0.5,0.175,1.742,0.595,21,22.5
"F",0.47,0.375,0.105,0.513,0.232,11,12.5
"F",0.43,0.35,0.09,0.397,0.1575,9,10.5
"F",0.34,0.255,0.085,0.204,0.097,6,7.5
"F",0.335,0.22,0.07,0.17,0.076,6,7.5
"F",0.55,0.44,0.125,0.765,0.33,9,10.5
"F",0.64,0.475,0.19,1.151,0.4365,13,14.5
"F",0.545,0.41,0.115,0.6765,0.29,9,10.5
"F",0.64,0.54,0.175,1.571,0.627,18,19.5
"F",0.57,0.465,0.155,0.872,0.3245,14,15.5
"F",0.505,0.405,0.18,0.606,0.239,11,12.5
"F",0.49,0.38,0.13,0.539,0.229,12,13.5
"F",0.505,0.41,0.135,0.657,0.291,15,16.5
"F",0.37,0.295,0.1,0.2685,0.1165,7,8.5
"F",0.67,0.545,0.175,1.707,0.6995,13,14.5
"F",0.59,0.415,0.15,0.8805,0.3645,11,12.5
"F",0.47,0.36,0.11,0.4965,0.237,6,7.5
"F",0.51,0.385,0.135,0.632,0.282,8,9.5
"F",0.525,0.405,0.115,0.72,0.3105,14,15.5
"F",0.61,0.47,0.16,1.017,0.426,12,13.5
"F",0.545,0.405,0.175,0.98,0.2585,18,19.5
"F",0.49,0.38,0.155,0.578,0.2395,9,10.5
"F",0.505,0.405,0.16,0.6835,0.271,10,11.5
"F",0.385,0.3,0.1,0.2725,0.1115,6,7.5
"F",0.62,0.485,0.22,1.511,0.5095,17,18.5
"F",0.635,0.505,0.185,1.3035,0.501,17,18.5
"F",0.665,0.53,0.185,1.3955,0.456,15,16.5
"F",0.6,0.48,0.165,1.1345,0.4535,10,11.5
"F",0.585,0.46,0.17,1.0835,0.3745,14,15.5
"F",0.555,0.42,0.14,0.868,0.33,13,14.5
"F",0.57,0.495,0.16,1.0915,0.452,14,15.5
"F",0.62,0.485,0.175,1.271,0.531,11,12.5
"F",0.64,0.505,0.19,1.2355,0.4435,14,15.5
"F",0.42,0.32,0.13,0.4135,0.1645,10,11.5
"F",0.45,0.35,0.135,0.56,0.231,13,14.5
"F",0.64,0.505,0.19,1.2765,0.4835,12,13.5
"F",0.61,0.48,0.19,1.2955,0.5215,12,13.5
"F",0.59,0.485,0.205,1.2315,0.4525,13,14.5
"F",0.69,0.54,0.185,1.5715,0.6935,15,16.5
"F",0.655,0.51,0.16,1.092,0.396,14,15.5
"F",0.69,0.555,0.205,1.8165,0.7785,19,20.5
"F",0.695,0.55,0.16,1.6365,0.694,13,14.5
"F",0.61,0.495,0.19,1.213,0.464,15,16.5
"F",0.435,0.35,0.125,0.459,0.197,9,10.5
"F",0.435,0.35,0.105,0.4195,0.194,7,8.5
"F",0.575,0.48,0.15,0.8745,0.375,12,13.5
"F",0.56,0.435,0.125,0.8775,0.3345,13,14.5
"F",0.645,0.52,0.19,1.3105,0.58,12,13.5
"F",0.595,0.485,0.145,1.2515,0.5035,14,15.5
"F",0.655,0.5,0.14,1.1705,0.5405,12,13.5
"F",0.495,0.385,0.135,0.6625,0.3005,11,12.5
"F",0.4,0.335,0.115,0.4335,0.2105,10,11.5
"F",0.595,0.465,0.145,1.107,0.402,12,13.5
"F",0.625,0.475,0.13,0.8595,0.3195,13,14.5
"F",0.475,0.375,0.14,0.501,0.192,13,14.5
"F",0.5,0.405,0.14,0.6735,0.265,18,19.5
"F",0.465,0.39,0.14,0.5555,0.213,15,16.5
"F",0.655,0.53,0.19,1.428,0.493,18,19.5
"F",0.58,0.475,0.165,1.0385,0.414,13,14.5
"F",0.59,0.475,0.155,0.9715,0.371,11,12.5
"F",0.665,0.57,0.185,1.522,0.6965,13,14.5
"F",0.62,0.51,0.175,1.1255,0.4985,14,15.5
"F",0.605,0.475,0.145,1.0185,0.4695,15,16.5
"F",0.51,0.395,0.12,0.6175,0.262,12,13.5
"F",0.495,0.375,0.15,0.597,0.2615,11,12.5
"F",0.63,0.5,0.16,1.22,0.4905,14,15.5
"F",0.605,0.485,0.165,1.0735,0.437,14,15.5
"F",0.62,0.5,0.175,1.146,0.477,13,14.5
"F",0.615,0.5,0.205,1.1055,0.4445,16,17.5
"F",0.66,0.525,0.19,1.67,0.6525,11,12.5
"F",0.71,0.575,0.175,1.555,0.6465,15,16.5
"F",0.565,0.45,0.185,0.9285,0.302,12,13.5
"F",0.57,0.435,0.14,0.8085,0.3235,16,17.5
"F",0.45,0.325,0.135,0.438,0.1805,9,10.5
"F",0.62,0.485,0.165,1.166,0.483,13,14.5
"F",0.48,0.38,0.135,0.507,0.1915,12,13.5
"F",0.505,0.41,0.15,0.6345,0.243,17,18.5
"F",0.705,0.555,0.2,1.4685,0.4715,19,20.5
"F",0.535,0.425,0.155,0.7765,0.302,16,17.5
"F",0.48,0.37,0.13,0.5885,0.2475,15,16.5
"F",0.395,0.3,0.105,0.3375,0.1435,12,13.5
"F",0.545,0.435,0.15,0.6855,0.2905,10,11.5
"F",0.385,0.305,0.125,0.314,0.146,10,11.5
"F",0.51,0.34,0.18,0.7005,0.312,11,12.5
"F",0.425,0.325,0.135,0.382,0.1465,12,13.5
"F",0.45,0.35,0.125,0.4435,0.185,11,12.5
"F",0.685,0.525,0.175,1.71,0.5415,16,17.5
"F",0.585,0.475,0.185,0.8575,0.3465,12,13.5
"F",0.49,0.39,0.135,0.59,0.215,12,13.5
"F",0.455,0.365,0.11,0.385,0.166,13,14.5
"F",0.48,0.38,0.145,0.59,0.232,12,13.5
"F",0.51,0.38,0.13,0.584,0.224,13,14.5
"F",0.52,0.405,0.145,0.829,0.3535,15,16.5
"F",0.455,0.36,0.11,0.4385,0.206,10,11.5
"F",0.58,0.44,0.175,1.073,0.4005,19,20.5
"F",0.475,0.375,0.125,0.588,0.237,10,11.5
"F",0.46,0.33,0.15,0.5325,0.2085,10,11.5
"F",0.305,0.225,0.07,0.1485,0.0585,7,8.5
"F",0.475,0.35,0.115,0.487,0.194,13,14.5
"F",0.605,0.45,0.165,1.2225,0.357,13,14.5
"F",0.475,0.375,0.15,0.559,0.1955,12,13.5
"F",0.46,0.35,0.115,0.44,0.19,8,9.5
"F",0.49,0.37,0.105,0.5265,0.249,7,8.5
"F",0.56,0.465,0.16,1.0315,0.432,9,10.5
"F",0.58,0.48,0.18,1.2495,0.4945,8,9.5
"F",0.595,0.475,0.165,1.148,0.444,10,11.5
"F",0.63,0.475,0.15,1.172,0.536,11,12.5
"F",0.65,0.545,0.185,1.5055,0.6565,10,11.5
"F",0.465,0.355,0.115,0.4705,0.1955,7,8.5
"F",0.49,0.4,0.115,0.569,0.256,9,10.5
"F",0.505,0.39,0.12,0.5725,0.2555,8,9.5
"F",0.525,0.44,0.125,0.7115,0.3205,7,8.5
"F",0.555,0.44,0.145,0.8815,0.43,8,9.5
"F",0.555,0.42,0.11,0.931,0.4445,8,9.5
"F",0.575,0.46,0.165,1.065,0.4985,8,9.5
"F",0.61,0.48,0.16,1.234,0.598,12,13.5
"F",0.61,0.495,0.175,1.2635,0.53,10,11.5
"F",0.61,0.47,0.16,1.0745,0.4925,8,9.5
"F",0.625,0.495,0.16,1.1115,0.4495,11,12.5
"F",0.625,0.47,0.17,1.255,0.525,10,11.5
"F",0.64,0.48,0.195,1.1435,0.4915,9,10.5
"F",0.665,0.52,0.165,1.6885,0.7295,11,12.5
"F",0.715,0.585,0.23,2.0725,0.8655,10,11.5
"F",0.725,0.58,0.185,1.523,0.8045,9,10.5
"F",0.505,0.475,0.16,1.1155,0.509,8,9.5
"F",0.53,0.42,0.14,0.627,0.2905,8,9.5
"F",0.555,0.43,0.135,0.812,0.4055,9,10.5
"F",0.585,0.45,0.145,0.9835,0.4845,9,10.5
"F",0.595,0.47,0.165,1.0155,0.491,9,10.5
"F",0.615,0.49,0.19,1.1345,0.4695,11,12.5
"F",0.62,0.51,0.18,1.233,0.592,10,11.5
"F",0.64,0.5,0.165,1.1635,0.554,11,12.5
"F",0.64,0.475,0.175,1.1545,0.4865,9,10.5
"F",0.645,0.52,0.175,1.3345,0.667,10,11.5
"F",0.655,0.54,0.175,1.5585,0.7285,11,12.5
"F",0.66,0.5,0.175,1.3275,0.556,9,10.5
"F",0.69,0.525,0.19,1.492,0.6425,12,13.5
"F",0.7,0.575,0.2,1.7365,0.7755,11,12.5
"F",0.7,0.56,0.175,1.6605,0.8605,11,12.5
"F",0.72,0.545,0.185,1.7185,0.7925,11,12.5
"F",0.495,0.37,0.12,0.594,0.28,7,8.5
"F",0.565,0.45,0.175,1.2365,0.5305,10,11.5
"F",0.57,0.42,0.16,0.8875,0.4315,8,9.5
"F",0.575,0.475,0.16,0.895,0.3605,9,10.5
"F",0.585,0.465,0.165,0.9355,0.4035,9,10.5
"F",0.585,0.46,0.165,1.058,0.486,9,10.5
"F",0.595,0.465,0.145,0.7955,0.3425,10,11.5
"F",0.6,0.47,0.17,1.0805,0.4995,9,10.5
"F",0.6,0.475,0.155,1.059,0.441,11,12.5
"F",0.6,0.475,0.17,1.088,0.4905,10,11.5
"F",0.6,0.485,0.145,0.776,0.3545,9,10.5
"F",0.62,0.48,0.165,1.043,0.4835,10,11.5
"F",0.625,0.475,0.16,1.3335,0.605,10,11.5
"F",0.625,0.5,0.175,1.273,0.564,9,10.5
"F",0.65,0.52,0.195,1.6275,0.689,11,12.5
"F",0.65,0.475,0.165,1.3875,0.58,9,10.5
"F",0.655,0.53,0.165,1.2835,0.583,8,9.5
"F",0.66,0.5,0.155,1.3765,0.6485,12,13.5
"F",0.51,0.375,0.11,0.5805,0.2865,7,8.5
"F",0.555,0.405,0.12,0.913,0.4585,9,10.5
"F",0.59,0.465,0.17,1.0425,0.4635,10,11.5
"F",0.61,0.49,0.17,1.3475,0.7045,11,12.5
"F",0.64,0.5,0.17,1.12,0.4955,12,13.5
"F",0.64,0.5,0.17,1.2645,0.565,9,10.5
"F",0.655,0.455,0.17,1.275,0.583,8,9.5
"F",0.665,0.5,0.175,1.4355,0.643,9,10.5
"F",0.67,0.525,0.195,1.42,0.573,10,11.5
"F",0.735,0.565,0.225,2.037,0.87,13,14.5
"F",0.525,0.425,0.14,0.8735,0.4205,10,11.5
"F",0.545,0.41,0.125,0.654,0.2945,10,11.5
"F",0.585,0.42,0.155,1.034,0.437,11,12.5
"F",0.585,0.465,0.145,0.9855,0.4325,10,11.5
"F",0.595,0.44,0.135,0.964,0.5005,10,11.5
"F",0.595,0.46,0.155,1.0455,0.4565,10,11.5
"F",0.595,0.45,0.165,1.081,0.49,12,13.5
"F",0.6,0.5,0.16,1.122,0.5095,10,11.5
"F",0.605,0.49,0.15,1.1345,0.4305,10,11.5
"F",0.61,0.495,0.165,1.0835,0.4525,9,10.5
"F",0.625,0.485,0.135,1.3025,0.61,14,15.5
"F",0.63,0.505,0.195,1.306,0.516,9,10.5
"F",0.65,0.52,0.195,1.281,0.5985,10,11.5
"F",0.65,0.51,0.175,1.35,0.575,10,11.5
"F",0.66,0.53,0.17,1.431,0.622,10,11.5
"F",0.665,0.54,0.195,1.764,0.8505,11,12.5
"F",0.67,0.51,0.155,1.278,0.5605,11,12.5
"F",0.67,0.54,0.2,1.46,0.6435,9,10.5
"F",0.675,0.535,0.185,1.5575,0.7035,11,12.5
"F",0.675,0.53,0.195,1.4985,0.62,9,10.5
"F",0.705,0.53,0.17,1.564,0.612,10,11.5
"F",0.725,0.56,0.185,1.792,0.873,11,12.5
"F",0.38,0.32,0.115,0.6475,0.323,7,8.5
"F",0.485,0.365,0.15,0.9145,0.4145,7,8.5
"F",0.55,0.415,0.18,1.1655,0.502,9,10.5
"F",0.575,0.42,0.19,1.764,0.914,10,11.5
"F",0.635,0.505,0.17,1.2635,0.512,9,10.5
"F",0.65,0.525,0.165,1.238,0.647,9,10.5
"F",0.65,0.5,0.17,1.4045,0.694,11,12.5
"F",0.67,0.525,0.195,1.37,0.6065,12,13.5
"F",0.695,0.525,0.205,1.8185,0.819,13,14.5
"F",0.705,0.555,0.195,1.7525,0.7105,12,13.5
"F",0.555,0.44,0.14,0.846,0.346,10,11.5
"F",0.56,0.43,0.145,0.898,0.3895,9,10.5
"F",0.575,0.46,0.15,0.927,0.333,9,10.5
"F",0.585,0.42,0.155,0.9845,0.442,13,14.5
"F",0.62,0.5,0.175,1.107,0.4895,11,12.5
"F",0.63,0.475,0.15,1.072,0.433,8,9.5
"F",0.645,0.51,0.155,1.129,0.5015,10,11.5
"F",0.65,0.505,0.175,1.2075,0.5105,10,11.5
"F",0.65,0.495,0.175,1.227,0.528,11,12.5
"F",0.655,0.52,0.175,1.472,0.6275,13,14.5
"F",0.665,0.525,0.18,1.5785,0.678,14,15.5
"F",0.675,0.54,0.21,1.593,0.686,11,12.5
"F",0.695,0.535,0.175,1.361,0.5465,10,11.5
"F",0.705,0.56,0.17,1.4575,0.607,11,12.5
"F",0.45,0.365,0.115,0.5885,0.318,8,9.5
"F",0.52,0.375,0.135,0.5375,0.221,8,9.5
"F",0.61,0.49,0.17,1.137,0.4605,12,13.5
"F",0.605,0.48,0.175,1.1685,0.4815,9,10.5
"F",0.615,0.455,0.135,1.059,0.4735,9,10.5
"F",0.68,0.52,0.185,1.541,0.5985,10,11.5
"F",0.71,0.555,0.17,1.47,0.5375,12,13.5
"F",0.545,0.42,0.175,0.754,0.256,10,11.5
"F",0.46,0.365,0.115,0.4485,0.165,14,15.5
"F",0.425,0.35,0.1,0.4425,0.175,7,8.5
"F",0.53,0.41,0.145,0.8255,0.375,9,10.5
"F",0.615,0.475,0.145,0.9525,0.3915,9,10.5
"F",0.675,0.535,0.22,1.604,0.6175,14,15.5
"F",0.375,0.295,0.11,0.3005,0.1255,7,8.5
"F",0.57,0.465,0.155,0.9685,0.446,9,10.5
"F",0.485,0.4,0.155,0.731,0.236,11,12.5
"F",0.565,0.45,0.165,0.9765,0.322,12,13.5
"F",0.57,0.44,0.19,1.018,0.447,9,10.5
"F",0.55,0.465,0.15,1.082,0.3575,14,15.5
"F",0.63,0.475,0.175,1.423,0.4155,14,15.5
"F",0.655,0.5,0.18,1.4155,0.508,18,19.5
"F",0.525,0.43,0.165,0.717,0.289,10,11.5
"F",0.5,0.39,0.13,0.6355,0.2505,15,16.5
"F",0.44,0.34,0.135,0.3975,0.1505,8,9.5
"F",0.49,0.385,0.16,0.656,0.2455,9,10.5
"F",0.45,0.36,0.11,0.447,0.203,12,13.5
"F",0.515,0.4,0.115,0.578,0.191,9,10.5
"F",0.525,0.41,0.15,0.708,0.274,12,13.5
"F",0.645,0.5,0.225,1.626,0.587,15,16.5
"F",0.61,0.49,0.17,1.1775,0.5655,15,16.5
"F",0.565,0.455,0.13,1.058,0.439,10,11.5
"F",0.67,0.545,0.16,1.5415,0.5985,15,16.5
"F",0.46,0.375,0.12,0.4915,0.2205,7,8.5
"F",0.56,0.44,0.155,0.9705,0.4315,9,10.5
"F",0.575,0.45,0.1,0.9315,0.431,12,13.5
"F",0.56,0.46,0.18,0.97,0.342,12,13.5
"F",0.5,0.4,0.15,0.8085,0.273,13,14.5
"F",0.595,0.5,0.18,1.053,0.4405,13,14.5
"F",0.615,0.5,0.165,1.1765,0.488,17,18.5
"F",0.565,0.46,0.15,0.8765,0.3455,10,11.5
"F",0.525,0.43,0.125,0.813,0.3315,12,13.5
"F",0.455,0.375,0.125,0.458,0.1985,10,11.5
"F",0.52,0.41,0.16,0.712,0.2845,10,11.5
"F",0.645,0.49,0.19,1.3065,0.479,18,19.5
"F",0.5,0.4,0.165,0.7105,0.27,20,21.5
"F",0.47,0.35,0.115,0.487,0.1955,8,9.5
"F",0.65,0.515,0.215,1.498,0.564,16,17.5
"F",0.67,0.535,0.185,1.597,0.6275,21,22.5
"F",0.49,0.37,0.115,0.541,0.171,11,12.5
"F",0.475,0.4,0.115,0.541,0.186,13,14.5
"F",0.35,0.275,0.065,0.205,0.0745,10,11.5
"F",0.54,0.44,0.16,1.0905,0.391,15,16.5
"F",0.525,0.4,0.115,0.6295,0.2555,11,12.5
"F",0.53,0.4,0.165,0.772,0.2855,12,13.5
"F",0.525,0.415,0.15,0.7155,0.2355,13,14.5
"F",0.53,0.425,0.13,0.717,0.2115,13,14.5
"F",0.465,0.39,0.11,0.6355,0.1815,13,14.5
"F",0.515,0.395,0.14,0.686,0.281,12,13.5
"F",0.555,0.44,0.155,1.016,0.4935,10,11.5
"F",0.61,0.5,0.18,1.438,0.5185,9,10.5
"F",0.68,0.55,0.19,1.807,0.8225,11,12.5
"F",0.72,0.575,0.195,2.1505,1.0745,10,11.5
"F",0.525,0.41,0.115,0.7745,0.416,7,8.5
"F",0.585,0.45,0.125,0.874,0.3545,6,7.5
"F",0.645,0.525,0.17,1.37,0.6135,10,11.5
"F",0.655,0.545,0.185,1.759,0.6865,11,12.5
"F",0.67,0.52,0.195,1.8065,0.758,11,12.5
"F",0.555,0.43,0.14,0.7545,0.3525,9,10.5
"F",0.585,0.46,0.15,1.0035,0.503,11,12.5
"F",0.62,0.465,0.14,1.011,0.479,8,9.5
"F",0.64,0.525,0.175,1.382,0.646,9,10.5
"F",0.68,0.55,0.175,1.473,0.713,11,12.5
"F",0.69,0.58,0.195,1.658,0.708,10,11.5
"F",0.575,0.45,0.12,0.9585,0.447,12,13.5
"F",0.575,0.46,0.165,0.9575,0.4815,10,11.5
"F",0.58,0.46,0.135,0.926,0.4025,8,9.5
"F",0.58,0.425,0.155,0.873,0.3615,10,11.5
"F",0.625,0.495,0.16,1.234,0.6335,13,14.5
"F",0.625,0.485,0.165,1.2255,0.5075,10,11.5
"F",0.635,0.5,0.18,1.2565,0.539,10,11.5
"F",0.645,0.5,0.15,1.159,0.4675,9,10.5
"F",0.69,0.535,0.185,1.826,0.797,11,12.5
"F",0.695,0.56,0.185,1.7715,0.8195,10,11.5
"F",0.63,0.515,0.16,1.336,0.553,11,12.5
"F",0.64,0.49,0.18,1.36,0.653,9,10.5
"F",0.575,0.48,0.17,1.1,0.506,10,11.5
"F",0.625,0.49,0.19,1.7015,0.7465,11,12.5
"F",0.635,0.485,0.155,1.073,0.467,11,12.5
"F",0.635,0.5,0.175,1.477,0.684,12,13.5
"F",0.65,0.495,0.16,1.3105,0.577,9,10.5
"F",0.675,0.52,0.175,1.494,0.7365,9,10.5
"F",0.675,0.51,0.15,1.1965,0.475,11,12.5
"F",0.71,0.545,0.175,1.907,0.8725,11,12.5
"F",0.715,0.565,0.18,1.79,0.844,9,10.5
"F",0.72,0.59,0.205,1.7495,0.7755,11,12.5
"F",0.56,0.42,0.18,1.6645,0.7755,9,10.5
"F",0.57,0.45,0.15,0.9645,0.531,9,10.5
"F",0.605,0.465,0.155,1.1,0.547,10,11.5
"F",0.64,0.505,0.175,1.3185,0.6185,9,10.5
"F",0.595,0.455,0.14,0.914,0.3895,9,10.5
"F",0.6,0.5,0.17,1.13,0.4405,11,12.5
"F",0.615,0.495,0.155,1.0805,0.52,9,10.5
"F",0.635,0.495,0.175,1.2355,0.5205,10,11.5
"F",0.645,0.535,0.19,1.2395,0.468,10,11.5
"F",0.65,0.505,0.165,1.357,0.5725,11,12.5
"F",0.655,0.5,0.22,1.359,0.642,13,14.5
"F",0.56,0.44,0.135,0.8025,0.35,9,10.5
"F",0.585,0.475,0.165,1.053,0.458,11,12.5
"F",0.585,0.455,0.17,0.9945,0.4255,11,12.5
"F",0.515,0.4,0.125,0.615,0.2865,8,9.5
"F",0.565,0.45,0.165,0.887,0.37,11,12.5
"F",0.625,0.485,0.15,1.0945,0.531,10,11.5
